Campaign name,Ad Group Name,Date,Ad Name,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-03,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,450777,3494,11975,37642,129,0.34,5,90155,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2024-01-18,zym ads 76.mp4_2023-08-22 15:47:24,449760,3018,19155,23480,149,0.63,8,56220,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-29,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,448776,2325,8749,51294,193,0.38,5,89755,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-23,zym ads 76.mp4_2023-08-22 15:47:24,447107,3576,23998,18631,125,0.67,11,40646,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-11-10,zym ads 76.mp4_2023-08-22 15:47:24,446933,3886,17655,25314,115,0.45,5,89386,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-14,zym nanda20.mov_2023-09-09 09:07:58,444852,4196,13158,33806,106,0.31,4,111213,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-03-14,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,444346,2302,6920,64211,193,0.30,7,63478,IDR
K | ABO | 30-12-2023 | scale out,Ad group 20231230110332,2024-01-01,Remake kanker.mov_2023-12-30 11:13:54,444291,149,4174,106431,2970,2.79,3,148097,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-02-04,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,443860,2580,12558,35344,172,0.49,6,73976,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-08,zym nanda16.mov_2023-10-23 08:59:01,443462,4347,16848,26321,102,0.39,9,49273,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2024-01-19,zym ads 76.mp4_2023-08-22 15:47:24,442640,3378,19722,22443,131,0.58,6,73773,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-11-07,zym nanda20.mov_2023-09-09 09:07:58,442358,3538,15680,28210,125,0.44,7,63194,IDR
K | ABO | 30-12-2023 | scale out,Ad group 20231230110332,2024-01-09,2 KALI SEHARI.mov_2023-12-30 11:13:54,441878,2779,8888,49715,159,0.32,5,88375,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231224082730,2023-12-25,Dapat mahal .mov_2023-12-24 20:29:32,441849,2026,15377,28733,218,0.76,1,441849,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2024-01-23,zym ads 76.mp4_2023-08-22 15:47:24,441216,3042,10144,43494,145,0.33,7,63030,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-13,2X sehari.mov_2023-11-03 10:06:02,440915,3019,12008,36718,146,0.40,4,110228,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-11-14,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,439700,3257,15120,29079,135,0.46,6,73283,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-12-01,Bentuk paket.mov_2023-10-30 11:24:49,439497,3184,19723,22283,138,0.62,10,43949,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-01,zym ads 76.mp4_2023-08-22 15:47:24,439389,3207,10420,42165,137,0.32,9,48821,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-15,zym nanda20.mov_2023-09-09 09:07:58,437715,1723,10994,39811,254,0.64,5,87543,IDR
