Campaign name,Ad Group Name,Date,Ad Name,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 15-12-2023 | testing,Ad group 20231215024421,2023-12-22,Termurah zymuno .mov_2023-12-15 14:44:49,347849,4141,12562,27689,84,0.30,3,115949,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-20,zym nanda20.mov_2023-09-09 09:07:58,347833,2303,19415,17915,151,0.84,4,86958,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-17,zym nanda20.mov_2023-09-09 09:07:58,347392,2019,8361,41548,172,0.41,4,86848,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-30,zym pydr.mp4_2023-10-23 08:59:01,346622,1526,5707,60726,227,0.37,10,34662,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-01,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,346249,3147,16369,21152,110,0.52,4,86562,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-19,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,346156,1498,5010,69086,231,0.33,3,115385,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-30,zym nanda16.mov_2023-10-23 08:59:01,346149,2097,12164,28455,165,0.58,12,28845,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-03,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,345994,2641,16393,21106,131,0.62,7,49427,IDR
#ISU STICH ZYMUNO,K | ABO | 17-02-2024 | scale out,2024-02-27,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,345868,1639,7027,49213,211,0.43,6,57644,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-15,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,345655,3005,9708,35602,115,0.32,2,172827,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-10-18,zym ads 76.mp4_2023-08-22 15:47:24,345216,3196,35276,9786,108,1.10,13,26555,IDR
#ISU STICH ZYMUNO,K | ABO | 17-02-2024 | scale out,2024-02-20,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,344808,2314,9247,37287,149,0.40,3,114936,IDR
#RAMADHAN ZYMUNO,K | ABO | 18-03-2024 | Ramadhan,2024-04-01,LP 15 MARET USTAD HAIT B3NDJOLAN.mov,344164,2568,9573,35949,134,0.37,3,114721,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-31,zym nanda20.mov_2023-09-09 09:07:58,343752,2706,13717,25059,127,0.51,7,49107,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-10-15,zym ads 76.mp4_2023-08-22 15:47:24,343619,4139,22042,15589,83,0.53,7,49088,IDR
K | ABO | 30-12-2023 | scale out,Ad group 20231230110332,2024-01-02,HATI-HATI ABAIKAN REMAKE.mov_2023-12-30 11:13:54,343171,1665,5798,59185,206,0.35,3,114390,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-21,zym nanda16.mov_2023-10-23 08:59:01,342411,3261,21299,16076,105,0.65,4,85602,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-23,Bentuk paket.mov_2023-10-30 11:24:49,342403,4446,25715,13315,77,0.58,6,57067,IDR
K | ABO | 06-03-2024 | tasting,Ad group 20240305023637,2024-03-10,Lp_5 MAR_ HANYA 140 RB SOLUSI BENJOLAN.mov_2024-03-05 14:37:07,342326,5266,18785,18223,65,0.36,2,171163,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-12-04,Bentuk paket.mov_2023-10-30 11:24:49,342251,3528,17007,20123,97,0.48,3,114083,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-07,zym nanda16.mov_2023-10-23 08:59:01,342208,3001,14653,23353,114,0.49,13,26323,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-20,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,342036,1869,6768,50534,183,0.36,5,68407,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-13,zym nanda20.mov_2023-09-09 09:07:58,341613,3485,10405,32830,98,0.30,3,113871,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-02-06,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,341328,2625,16860,20244,130,0.64,7,48761,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-13,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,340427,2014,8571,39718,169,0.43,3,113475,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-10,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,340316,1389,4841,70290,245,0.35,2,170158,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-31,zym nanda20.mov_2023-09-09 09:07:58,340244,3910,14740,23083,87,0.38,4,85061,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-19,zym nanda16.mov_2023-10-23 08:59:01,339001,2587,8781,38606,131,0.34,7,48428,IDR
K | ABO | 20-02-2024 | scale out,ID/18-44/Games (by type)/Balanced,2024-02-28,lp_17 feb_promo benjol.mov_2024-02-20 15:23:35,338716,1861,6528,51885,182,0.35,3,112905,IDR
#RAMADHAN ZYMUNO,K | ABO | 18-03-2024 | Ramadhan,2024-03-30,LP 15 MARET USTAD HAIT B3NDJOLAN.mov,338369,3048,19405,17437,111,0.64,6,56394,IDR
K | ABO | 14-11-2023 | testing,Ad group 20231114021328,2023-11-19,KAMU UDAH.mov,337521,3750,11614,29061,90,0.31,3,112507,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-12-01,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,336831,2532,9967,33794,133,0.39,5,67366,IDR
K | ABO | 23-10-2023 |scale up,Ad group6,2023-10-30,zym ads 80.mp4_2023-08-21 10:11:47,336184,4050,9695,34673,83,0.24,2,168092,IDR
K | ABO | 16-02-2024 | testing,"ID/18-44/games (by type), Beauty & Persnoal Care/Balanced",2024-02-21,Lp_ asli gak ya vr2.mov_2024-02-16 13:12:58,336150,3776,10950,30697,89,0.29,3,112050,IDR
K | ABO | 20-02-2024 | scale out,ID/18-44/Games (by type)/Balanced,2024-02-26,JANGAN BELI DISINI.mov_2024-02-20 15:23:35,335654,2542,8324,40322,132,0.33,5,67130,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-06,Bentuk paket.mov_2023-10-30 11:24:49,335085,5001,30365,11035,67,0.61,3,111695,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-07,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,334724,2988,17612,19005,112,0.59,8,41840,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-05,zym nanda20.mov_2023-09-09 09:07:58,334280,2932,18047,18522,114,0.62,13,25713,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-06,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,334126,2037,9196,36331,164,0.45,5,66825,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-02,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,333224,2314,9046,36835,144,0.39,4,83306,IDR
#RAMADHAN ZYMUNO,K | ABO | 20-03-2024 | Ramadhan,2024-03-21,LP 15 MARET USTAD HAIT B3NDJOLAN.mov,332647,2795,13196,25207,119,0.47,0,0,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-10-12,zym nanda20.mov_2023-09-09 09:07:58,332400,3693,19851,16744,90,0.54,6,55400,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-02-04,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,330224,2922,14674,22503,113,0.50,7,47174,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-12-25,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,328845,3914,26455,12430,84,0.68,8,41105,IDR
#ISU STICH ZYMUNO,K | ABO | 07-03-2024 | testing,2024-03-26,Lp_5 MAR_ HANYA 140 RB SOLUSI BENJOLAN.mov,328691,3778,13252,24802,87,0.35,4,82172,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-12,2X sehari.mov_2023-11-03 10:06:02,328580,2470,11504,28560,133,0.47,3,109526,IDR
K | ABO | 06-02-2024 | testing,ID/18-44/Hotel & Accommodation/Balanced,2024-02-07,LP TAMBAH 1 BOTOL REV.mov_2024-02-06 09:18:29,328463,3069,12285,26735,107,0.40,2,164231,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-02,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,328293,1865,9058,36240,176,0.49,6,54715,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-10-30,zym nanda16.mov_2023-10-23 08:59:01,328233,3383,12654,25939,97,0.37,3,109411,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-11-24,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,327879,1690,8430,38893,194,0.50,6,54646,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-11-27,zym nanda2.mov_2023-08-22 15:47:24,327572,3946,18599,17612,83,0.47,4,81893,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-24,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,327572,2169,10547,31056,151,0.49,8,40946,IDR
K | ABO | 16-02-2024 | testing,"ID/18-44/games (by type), Beauty & Persnoal Care/Balanced",2024-02-23,Lp_ asli gak ya vr2.mov_2024-02-16 13:12:58,327544,3521,13849,23651,93,0.39,5,65508,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-02,zym nanda16.mov_2023-10-23 08:59:01,326158,2398,11227,29049,136,0.47,7,46594,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-10-04,zym nanda20.mov_2023-09-09 09:07:58,326086,1598,28318,11515,204,1.77,12,27173,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-10-15,zym nanda20.mov_2023-09-09 09:07:58,325986,3746,19254,16930,87,0.51,11,29635,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-02-18,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,325882,2143,11457,28442,152,0.53,3,108627,IDR
K | ABO | 16-02-2024 | testing,"ID/18-44/games (by type), Beauty & Persnoal Care/Balanced",2024-02-29,Lp_ asli gak ya vr2.mov_2024-02-16 13:12:58,325460,2375,6631,49076,137,0.28,2,162730,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-21,zym nanda20.mov_2023-09-09 09:07:58,324880,2662,14437,22502,122,0.54,4,81220,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-25,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,324604,2178,9110,35628,149,0.42,10,32460,IDR
#RAMADHAN ZYMUNO,K | ABO | 10-03-2024 | Ramadhan,2024-03-11,LP_6 MAR_ RAMADHAN BENDJOLAN.mov_2024-03-08 13:59:54,324567,2080,6686,48543,156,0.32,6,54094,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-25,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,324263,2014,6660,48686,161,0.33,5,64852,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-09,zym nanda20.mov_2023-09-09 09:07:58,324083,1705,8721,37157,190,0.51,6,54013,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2024-01-13,zym nanda16.mov_2023-10-23 08:59:01,324024,2613,13673,23697,124,0.52,3,108008,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-10-21,zym nanda20.mov_2023-09-09 09:07:58,323486,3897,18643,17351,83,0.48,9,35942,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-06,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,322908,3075,16898,19109,105,0.55,3,107636,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-17,zym nanda2.mov_2023-08-22 15:47:24,322894,3669,25545,12640,88,0.70,3,107631,IDR
K | ABO | 25-01-2024 | scale out,Ad group 20240125093034,2024-01-26,Remake rv2 dengan 2x sehari.mov_2024-01-25 09:31:04,322744,2712,10487,30774,119,0.39,3,107581,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-10-18,zym nanda20.mov_2023-09-09 09:07:58,322632,3545,27837,11590,91,0.79,12,26886,IDR
Konversi 17 Oct 23,ad group6,2023-10-21,SIAPA BILANG REV.mov_2023-10-17 08:35:33,322590,2829,22444,14373,114,0.79,2,161295,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-25,zym nanda16.mov_2023-10-23 08:59:01,322439,3980,23609,13657,81,0.59,6,53739,IDR
#RAMADHAN ZYMUNO,K | ABO | 18-03-2024 | Ramadhan,2024-03-31,LP 15 MARET USTAD HAIT B3NDJOLAN.mov,322158,2556,15097,21339,126,0.59,5,64431,IDR
K | ABO | 30-02-2024 | scale out,Ad group 20240330010642,2024-04-02,LP_30MAR_PUNYA BENJOLAN.mov_2024-03-30 13:21:49,321800,2533,10826,29724,127,0.43,4,80450,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-03,zym nanda20.mov_2023-09-09 09:07:58,321370,2453,10395,30913,131,0.42,5,64274,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-04,zym nanda20.mov_2023-09-09 09:07:58,320056,2012,10204,31364,159,0.51,5,64011,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-30,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,319481,2707,13892,22997,118,0.51,2,159740,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-11-03,zym ads 76.mp4_2023-08-22 15:47:24,319363,3588,14576,21909,89,0.41,8,39920,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-02-04,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,319025,1687,8624,36989,189,0.51,5,63805,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-24,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,318960,2797,9521,33500,114,0.34,5,63792,IDR
Konversi 17 Oct 23,ad group6,2023-10-22,SIAPA BILANG REV.mov_2023-10-17 08:35:33,318936,2926,19435,16410,109,0.66,2,159468,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-12-28,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,318888,4689,20998,15186,68,0.45,6,53148,IDR
K | ABO | 30-12-2023 | scale out,Ad group 20231230110332,2023-12-31,Remake kanker.mov_2023-12-30 11:13:54,318780,145,4479,71172,2196,3.09,0,0,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-07,Bentuk paket.mov_2023-10-30 11:24:49,318143,4418,32811,9696,72,0.74,6,53023,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-14,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,318039,1135,4494,70760,280,0.40,3,106013,IDR
#ISU STICH ZYMUNO,K | ABO | 17-02-2024 | scale out,2024-02-19,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,317977,2606,10366,30674,122,0.40,2,158988,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-05,zym nanda16.mov_2023-10-23 08:59:01,317865,1938,7759,40965,164,0.40,4,79466,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-26,zym nanda20.mov_2023-09-09 09:07:58,317849,2889,14896,21337,110,0.52,4,79462,IDR
K | ABO | 01-12-2023 | scale up,Ad group 20231201094319,2023-12-21,Kenapa ganti kemasan _.mov_2023-12-01 09:43:57,317423,2939,13669,23222,108,0.47,3,105807,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-01-28,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,317344,2316,8020,39569,137,0.35,4,79336,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-10-09,zym ads 76.mp4_2023-08-22 15:47:24,316808,3105,20768,15254,102,0.67,15,21120,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-13,zym nanda20.mov_2023-09-09 09:07:58,316783,3519,12682,24978,90,0.36,4,79195,IDR
K | ABO | 15-01-2024 |scale out,Ad group 20240115104123,2024-01-17,REMAKE BENDJOLAN LEHER VR 2.mov_2024-01-15 10:41:46,316653,799,2543,124481,396,0.32,0,0,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-02,Bentuk paket.mov_2023-10-30 11:24:49,316575,4588,30492,10382,69,0.66,7,45225,IDR
K | ABO | 15-01-2024 |scale out,Ad group 20240115104123,2024-01-16,REMAKE BENDJOLAN LEHER VR 2.mov_2024-01-15 10:41:46,316131,1149,4465,70791,275,0.39,6,52688,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-30,Bentuk paket.mov_2023-10-30 11:24:49,316026,3326,23390,13511,95,0.70,5,63205,IDR
K | ABO | 15-01-2024 | scale out,Ad group 20240115104743,2024-02-11,DENGAB 2x SEHARI.mov_2024-01-15 10:48:22,315871,3948,14833,21295,80,0.38,2,157935,IDR
#ISU STICH ZYMUNO,K | ABO | 17-02-2024 | scale out,2024-02-21,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,314676,2247,9166,34328,140,0.41,5,62935,IDR
K | ABO | 28-02-2024 | scale out,Ad group 20240328120433,2024-04-03,LP 26 MARET PROMO JABAR JATENG JATIM.mov_2024-03-28 12:05:14,314488,941,6586,47747,334,0.70,2,157244,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-11-29,zym nanda2.mov_2023-08-22 15:47:24,313935,3139,16220,19354,100,0.52,4,78483,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-15,zym nanda16.mov_2023-10-23 08:59:01,311902,2688,10915,28574,116,0.41,10,31190,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-09,zym nanda2.mov_2023-08-22 15:47:24,311846,3057,17908,17413,102,0.59,4,77961,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-18,zym nanda20.mov_2023-09-09 09:07:58,311823,2398,16215,19230,130,0.68,5,62364,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-30,zym nanda20.mov_2023-09-09 09:07:58,311750,2886,13826,22548,108,0.48,5,62350,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-11,zym nanda20.mov_2023-09-09 09:07:58,311696,3801,10182,30612,82,0.27,3,103898,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-12,zym nanda16.mov_2023-10-23 08:59:01,311112,2854,9889,31458,109,0.35,4,77778,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2024-02-21,zym ads 76.mp4_2023-08-22 15:47:24,310701,2390,11159,27841,130,0.47,3,103567,IDR
K | ABO | 22-11-2023 | scale out,Ad group 20231122092454,2023-11-23,Bentuk paket.mov_2023-11-22 09:25:58,310422,4311,14635,21210,72,0.34,3,103474,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-11-24,zym nanda2.mov_2023-08-22 15:47:24,310207,3783,18535,16736,82,0.49,3,103402,IDR
K | ABO | 28-02-2024 | scale out,Ad group 20240328120433,2024-03-31,LP 26 MARET PROMO JABAR JATENG JATIM.mov_2024-03-28 12:05:14,309702,882,7149,43319,351,0.81,6,51617,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-04-02,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,309333,4237,8825,35050,73,0.21,2,154666,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2024-01-10,zym nanda16.mov_2023-10-23 08:59:01,308741,3026,17201,17948,102,0.57,7,44105,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-11-29,zym nanda16.mov_2023-10-23 08:59:01,308660,2638,12049,25617,117,0.46,6,51443,IDR
K | ABO | 15-01-2024 | scale out,Ad group 20240115104743,2024-02-10,DENGAB 2x SEHARI.mov_2024-01-15 10:48:22,308489,3466,14302,21569,89,0.41,2,154244,IDR
K | ABO | 01-12-2023 | scale up,Ad group 20231201094319,2023-12-09,Kenapa ganti kemasan _.mov_2023-12-01 09:43:57,308481,2779,12173,25340,111,0.44,6,51413,IDR
K | ABO | 06-02-2024 | testing,ID/18-44/Hotel & Accommodation/Balanced,2024-02-10,LP TAMBAH 1 BOTOL REV.mov_2024-02-06 09:18:29,308061,2388,8861,34764,129,0.37,4,77015,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-11,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,307696,2403,9115,33756,128,0.38,5,61539,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-27,Bentuk paket.mov_2023-10-30 11:24:49,307264,2648,12443,24693,116,0.47,6,51210,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-07,zym nanda20.mov_2023-09-09 09:07:58,307184,2089,15691,19576,147,0.75,7,43883,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-29,zym nanda20.mov_2023-09-09 09:07:58,307139,1073,7941,38673,286,0.74,3,102379,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-07,zym nanda20.mov_2023-09-09 09:07:58,307084,3010,11949,25698,102,0.40,2,153542,IDR
K | ABO | 01-12-2023 | scale up,Ad group 20231201094319,2023-12-11,Kenapa ganti kemasan _.mov_2023-12-01 09:43:57,307009,2842,9908,30985,108,0.35,12,25584,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-01,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,306533,2221,9337,32827,138,0.42,4,76633,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-01-26,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,305896,3516,17092,17897,87,0.49,3,101965,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-02,zym nanda20.mov_2023-09-09 09:07:58,305843,2682,12763,23962,114,0.48,3,101947,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-15,zym nanda2.mov_2023-08-22 15:47:24,305581,3358,22702,13460,91,0.68,4,76395,IDR
#RAMADHAN ZYMUNO,K | ABO | 10-03-2024 | Ramadhan,2024-03-13,LP_6 MAR_ RAMADHAN BENDJOLAN.mov_2024-03-08 13:59:54,305539,1669,5299,57659,183,0.32,2,152769,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-11-06,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,305533,3867,21747,14049,79,0.56,8,38191,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-02-20,zym nanda20.mov_2023-09-09 09:07:58,305460,3149,11172,27340,97,0.35,3,101820,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-03-07,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,305189,2329,10768,28341,131,0.46,2,152594,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-02-14,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,304327,2623,9049,33629,116,0.34,4,76081,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-02-09,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,302904,2969,13336,22713,102,0.45,4,75726,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-21,zym nanda20.mov_2023-09-09 09:07:58,302653,3736,13826,21890,81,0.37,4,75663,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-24,zym nanda20.mov_2023-09-09 09:07:58,301857,3920,30692,9835,77,0.78,6,50309,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-11-04,zym ads 76.mp4_2023-08-22 15:47:24,301083,3421,10813,27842,88,0.32,4,75270,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-10-17,zym ads 76.mp4_2023-08-22 15:47:24,300889,3539,30850,9753,85,0.87,7,42984,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-01-24,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,300863,2486,12146,24770,121,0.49,2,150431,IDR
K | ABO | 30-10-2023 | testing,Ad group 20231030112344,2023-11-10,Bentuk paket.mov_2023-10-30 11:24:49,300837,5571,28450,10574,54,0.51,6,50139,IDR
K | ABO | 06-03-2024 | tasting,Ad group 20240305023637,2024-03-09,Lp_5 MAR_ HANYA 140 RB SOLUSI BENJOLAN.mov_2024-03-05 14:37:07,300504,2659,11228,26763,113,0.42,0,0,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-10-25,zym nanda20.mov_2023-09-09 09:07:58,300171,4618,24634,12185,65,0.53,7,42881,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-01,zym nanda20.mov_2023-09-09 09:07:58,299928,1828,14315,20952,164,0.78,9,33325,IDR
K | ABO | 01-12-2023 | scale up,Ad group 20231201094319,2023-12-17,2023-12-01 09:55:32,299757,4834,27558,10877,62,0.57,3,99919,IDR
K | ABO | 20-01-2023 | scale out,K | ABO | 20-01-2023 | scale out,2024-02-11,LP TAMBAH 1 BOTOL REV.mov_2024-01-20 10:30:19,299676,2561,12885,23256,117,0.50,7,42810,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2023-12-22,zym nanda20.mov_2023-09-09 09:07:58,299451,3219,21496,13930,93,0.67,4,74862,IDR
CBO 27 Oct 23,Ad group 20231027100210,2023-10-28,Zymuno mahal.mov_2023-10-27 10:05:54,299436,2495,13054,22937,120,0.52,6,49906,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-10-29,zym ads 76.mp4_2023-08-22 15:47:24,298760,2958,14533,20556,101,0.49,8,37345,IDR
#ISU STICH ZYMUNO,K | ABO | 07-03-2024 | testing,2024-03-11,ADA JAMiNAN.mov,298516,3077,9719,30714,97,0.32,2,149258,IDR
Konversi 23 sept lapor fajri,Ad group1,2023-10-09,zym ads 44.mp4_2023-08-01 08:50:56,298287,1796,12510,23843,166,0.70,9,33143,IDR
